"analysis","rater_1","rater_2","n_items","n_categories","observed_agreement","expected_agreement","cohen_kappa","standard_error","confidence_level","ci_low","ci_high","z_value","p_value"
"exercise_type","rater_1","rater_2",1275,37,0.898039215686275,0.107291041906959,0.885784965649355,0.0094929075095106,0.95,0.867178866930714,0.904391064367996,93.3101860269805,0
"exercise_format","rater_1","rater_2",1275,72,0.907450980392157,0.0729165705497885,0.900171854368352,0.0087543435812253,0.95,0.883013340949151,0.917330367787554,102.825739704673,0
