participant_ID,text_file,error,rater_1,rater_2
ABA1_C,./data/processed/exercises/ABA1_C_E01.txt,(submitir) [entregar] el proyecto,discrete choice,discrete choice
ABA1_C,./data/processed/exercises/ABA1_C_E02.txt,y (soy) [estoy] en la clase de español,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
ABA1_C,./data/processed/exercises/ABA1_C_E03.txt,el (próximo) [siguiente] día de clase,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
ABA1_C,./data/processed/exercises/ABA1_C_E04.txt,(proximo) [próximo] / (dia) [día] / (despues) [después] / (ocurrio) [ocurrió],accent marking and read-aloud,"accent marking and read-aloud, prompted writing"
ABA1_C,./data/processed/exercises/ABA1_C_E05.txt,(occurió) [ocurrió] / (fonciona) [funciona] / (residence) [residencia],"text editing, prompted writing","text editing, prompted writing"
ABA1_C,./data/processed/exercises/ABA1_C_E06.txt,iba a (darnos) [ponernos] un cero,discrete choice,discrete choice
ABA1_C,./data/processed/exercises/ABA1_C_E07.txt,(tenia) [tenía] / (el) [él] debía / (esta) [está],"matching, prompted writing","matching, prompted writing"
ABA1_C,./data/processed/exercises/ABA1_C_E08.txt,hemos podido solucionar (al) [el] problema,discrete choice,discrete choice
ABA1_C,./data/processed/exercises/ABA1_C_E09.txt,su (telefona) [teléfono] estaba roto,"vocabulary extraction and list creation, translation","vocabulary extraction and list creation, translation"
ABA1_C,./data/processed/exercises/ABA1_C_E10.txt,cada persona (en) [de] mi grupo / estaba (en) [a] cargo de algo,discrete choice,"discrete choice, metalinguistic reflection"
ABA1_C,./data/processed/exercises/ABA1_C_E11.txt,pero ella (digo) [dijo],"paradigmatic systematization, metalinguistic reflection, accent marking and read-aloud","paradigmatic systematization, metalinguistic reflection, accent marking and read-aloud"
ABA1_C,./data/processed/exercises/ABA1_C_E12.txt,dos (horais) [horas] antes del vencimiento del proyecto,metalinguistic reflection,metalinguistic reflection
ABA1_C,./data/processed/exercises/ABA1_C_E13.txt,un proyecto en grupo que valía [el] 55% de la nota final,cloze,"cloze, metalinguistic reflection"
ABA1_C,./data/processed/exercises/ABA1_C_E14.txt,un proyecto en grupo que (era) [valía] el 55% de la nota final,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
ABA1_C,./data/processed/exercises/ABA1_C_E15.txt,la profesora nos había (dado) [asignado] un proyecto en grupo,syntagmatic systematization,syntagmatic systematization
ABJ1_D,./data/processed/exercises/ABJ1_D_E01.txt,porque tenía la (oportunidad) [opción] de escribirles,"matching, metalinguistic reflection, prompted writing","matching, metalinguistic reflection, prompted writing"
ABJ1_D,./data/processed/exercises/ABJ1_D_E02.txt,(aerobics) [aeróbic],text editing,text editing
ABJ1_D,./data/processed/exercises/ABJ1_D_E03.txt,toco la flauta desde (hace) [que] tengo ocho años,"discrete choice, prompted writing","discrete choice, prompted writing"
ABJ1_D,./data/processed/exercises/ABJ1_D_E04.txt,me han ayudado mucho (para) [a] mejorar,discrete choice,discrete choice
ABJ1_D,./data/processed/exercises/ABJ1_D_E05.txt,los exámenes siempre (están) [son] evaluados por los profesores,"matching, prompted writing","matching, prompted writing"
ABJ1_D,./data/processed/exercises/ABJ1_D_E06.txt,en cuanto (en) [a] sus conocimientos lingüísticos,cloze,cloze
ABJ1_D,./data/processed/exercises/ABJ1_D_E07.txt,ver cómo la persona (se) ha mejorado en cuanto a / también los demás estudiantes [se] pueden evaluar entre ellos,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
ABJ1_D,./data/processed/exercises/ABJ1_D_E08.txt,como ya dije (anterior) [anteriormente],"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
ABJ1_D,./data/processed/exercises/ABJ1_D_E09.txt,y (yo) siempre dije que había pagado,"text editing, metalinguistic reflection","text editing, metalinguistic reflection"
ABJ1_D,./data/processed/exercises/ABJ1_D_E10.txt,para que me (reclamaran) [reembolsaran] el depósito,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
ABJ1_D,./data/processed/exercises/ABJ1_D_E11.txt,"no es valorar a la persona en sí misma, (pero) [sino] su trabajo","metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
ABJ1_D,./data/processed/exercises/ABJ1_D_E12.txt,no es valorar [a] la persona en sí misma,discrete choice,discrete choice
ABJ1_D,./data/processed/exercises/ABJ1_D_E13.txt,(escribí mucho con ellos) [les escribí mucho],"translation, prompted writing","translation, prompted writing"
ABJ1_D,./data/processed/exercises/ABJ1_D_E14.txt,la (agencia de alquiler) [agencia inmobiliaria],"vocabulary extraction and list creation, translation",vocabulary extraction and list creation
ABJ1_D,./data/processed/exercises/ABJ1_D_E15.txt,(cuáles) [qué] problemas tuve con la agencia,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
AHJ1_S,./data/processed/exercises/AHJ1_S_E01.txt,empecé a estudiar (Business Administration) [Administración de Empresas],text editing,text editing
AHJ1_S,./data/processed/exercises/AHJ1_S_E02.txt,(para) [por] un año / (para) [por] cuatro meses,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
AHJ1_S,./data/processed/exercises/AHJ1_S_E03.txt,desde julio [de] 2022 hasta agosto [de] 2023,"text editing, prompted writing","text editing, prompted writing"
AHJ1_S,./data/processed/exercises/AHJ1_S_E04.txt,empecé (una práctica) [unas prácticas],discrete choice,discrete choice
AHJ1_S,./data/processed/exercises/AHJ1_S_E05.txt,empecé [a] estudiar,"metalinguistic reflection, translation","metalinguistic reflection, translation"
AHJ1_S,./data/processed/exercises/AHJ1_S_E06.txt,(y) [e] hice,cloze,cloze
AHJ1_S,./data/processed/exercises/AHJ1_S_E07.txt,después nos mudamos (en) [a] una casa grande,discrete choice,discrete choice
AHJ1_S,./data/processed/exercises/AHJ1_S_E08.txt,(empezé) [empecé],"cloze, metalinguistic reflection",cloze
AHJ1_S,./data/processed/exercises/AHJ1_S_E09.txt,jugué desde (hace) [los] quince años,discrete choice,discrete choice
AHJ1_S,./data/processed/exercises/AHJ1_S_E10.txt,(deste) [desde] / (jugé) [jugué] / (voleybol) [voleibol] / (quatro) [cuatro],"text editing, prompted writing","text editing, prompted writing"
AHJ1_S,./data/processed/exercises/AHJ1_S_E11.txt,(hasta tuve 3 años) [hasta que cumplí los 3 años] / (hasta tuve 22 años) [hasta que cumplí los 22 años],cloze,"cloze, metalinguistic reflection"
AHJ1_S,./data/processed/exercises/AHJ1_S_E12.txt,(obtuve) [hice] una amiga,discrete choice,discrete choice
AHJ1_S,./data/processed/exercises/AHJ1_S_E13.txt,para [toda la] vida,"translation, prompted writing","translation, prompted writing"
AHJ1_S,./data/processed/exercises/AHJ1_S_E14.txt,"fui (un) [una] ""au pair"" / como (empleado) [empleada] industrial","paradigmatic systematization, metalinguistic reflection","paradigmatic systematization, metalinguistic reflection"
AHJ1_S,./data/processed/exercises/AHJ1_S_E15.txt,(ella) [su] nombre es Damaris,"vocabulary extraction and list creation, translation",vocabulary extraction and list creation
AKA1_S,./data/processed/exercises/AKA1_S_E01.txt,fui a (New) [Nueva] York,"cloze, translation","cloze, translation"
AKA1_S,./data/processed/exercises/AKA1_S_E02.txt,mi [decimoctavo] cumpleaños (de dieciocho),text editing,text editing
AKA1_S,./data/processed/exercises/AKA1_S_E03.txt,un hospital (en) [de] la ciudad Bielefeld / la escuela secundaria (en) [de] mi pueblo,discrete choice,discrete choice
AKA1_S,./data/processed/exercises/AKA1_S_E04.txt,nací (en) el (primero) [1] de (Julio) [julio] / (en) [de] (dos mil dos) [2002] / desde verano [de] (dos mil veintidós) [2022],"text editing, prompted writing","text editing, prompted writing"
AKA1_S,./data/processed/exercises/AKA1_S_E05.txt,en (una) [un] hospital / la escuela (secundario) [secundaria],cloze,cloze
AKA1_S,./data/processed/exercises/AKA1_S_E06.txt,fui (en) [a] Nueva York,discrete choice,discrete choice
AKA1_S,./data/processed/exercises/AKA1_S_E07.txt,(fuí) [fui] / (dieciseis) [dieciséis] / (obtuvé) [obtuve] / (dos mil veintedos) [dos mil veintidós],accent marking and read-aloud,accent marking and read-aloud
AKA1_S,./data/processed/exercises/AKA1_S_E08.txt,mi (tercero) [tercer] cumpleaños,sentence reconstruction,sentence reconstruction
AKA1_S,./data/processed/exercises/AKA1_S_E09.txt,(mis) [mi] tercer cumpleaños,text editing,"text editing, metalinguistic reflection"
AKA1_S,./data/processed/exercises/AKA1_S_E10.txt,hice [a] mi amiga favorita,discrete choice,discrete choice
AKA1_S,./data/processed/exercises/AKA1_S_E11.txt,(desde) hasta [los] dieciséis años,cloze,cloze
AKA1_S,./data/processed/exercises/AKA1_S_E12.txt,pero él vive con mi familia (en) [por] el momento,"translation, prompted writing","translation, prompted writing"
AKA1_S,./data/processed/exercises/AKA1_S_E13.txt,(fue voluntario) [fui voluntaria],"cloze, metalinguistic reflection","cloze, metalinguistic reflection"
AKA1_S,./data/processed/exercises/AKA1_S_E14.txt,desde hace siete años (hice) [tengo] un perro,discrete choice,syntagmatic systematization
AKA1_S,./data/processed/exercises/AKA1_S_E15.txt,(cuidad) [ciudad] / (juegé) [jugué] / (vaccaciones) [vacaciones] / (graduation) [graduación] / (una banka) [un banco],"text editing, prompted writing","text editing, prompted writing"
ASM1_D,./data/processed/exercises/ASM1_D_E01.txt,(recelo) [desconfío] mucho [de] la veracidad de estas promesas,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
ASM1_D,./data/processed/exercises/ASM1_D_E02.txt,con (respeto) [respecto] a,"discrete choice, translation, metalinguistic reflection","discrete choice, translation, metalinguistic reflection"
ASM1_D,./data/processed/exercises/ASM1_D_E03.txt,la mujer (en) [de] la entrada,discrete choice,discrete choice
ASM1_D,./data/processed/exercises/ASM1_D_E04.txt,mi madre encontró (un livestream) [una transmisión en vivo] en Instagram,text editing,text editing
ASM1_D,./data/processed/exercises/ASM1_D_E05.txt,me contó que (este) [ese] billete no era auténtico,text editing,text editing
ASM1_D,./data/processed/exercises/ASM1_D_E06.txt,que solo [se] quieren (provechar) [beneficiar] de las compras,"translation, prompted writing","translation, prompted writing"
ASM1_D,./data/processed/exercises/ASM1_D_E07.txt,estoy harta de (expresas) [empresas] como la suya,"discrete choice, metalinguistic reflection",discrete choice
ASM1_D,./data/processed/exercises/ASM1_D_E08.txt,estoy (harto) [harta] de empresas como la suya,"text editing, metalinguistic reflection","text editing, metalinguistic reflection"
ASM1_D,./data/processed/exercises/ASM1_D_E09.txt,y (vine) [fui] con mi madre allí,"prompted writing, metalinguistic reflection","prompted writing, metalinguistic reflection"
ASM1_D,./data/processed/exercises/ASM1_D_E10.txt,(yo) estaba muy triste,"text editing, metalinguistic reflection","text editing, metalinguistic reflection"
ASM1_D,./data/processed/exercises/ASM1_D_E11.txt,el portátil [se] apagó,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
ASM1_D,./data/processed/exercises/ASM1_D_E12.txt,alguien me (vendó) [vendió] un billete,"matching, prompted writing","matching, prompted writing"
ASM1_D,./data/processed/exercises/ASM1_D_E13.txt,me contó que ese billete no era (real) [auténtico],"matching, cloze","matching, cloze"
ASM1_D,./data/processed/exercises/ASM1_D_E14.txt,el nerviosismo me (dejaba) [hacía] olvidar que tenía que cargar mi portátil,"matching, metalinguistic reflection","matching, metalinguistic reflection"
ASM1_D,./data/processed/exercises/ASM1_D_E15.txt,confío [en] que este problema sea tratado / estaba esperando frente (de) [a] mi portátil / luché [para] encenderlo otra vez,discrete choice,discrete choice
AWA1_D,./data/processed/exercises/AWA1_D_E01.txt,(se) falta la mitad del inventario,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
AWA1_D,./data/processed/exercises/AWA1_D_E02.txt,(pagina) [página] web / (ningun) [ningún] / (facíl) [fácil],accent marking and read-aloud,accent marking and read-aloud
AWA1_D,./data/processed/exercises/AWA1_D_E03.txt,con el (envió) [envío] / (mi) [mí],"matching, prompted writing","matching, prompted writing"
AWA1_D,./data/processed/exercises/AWA1_D_E04.txt,el día 6 de (Septiembre) [septiembre] de 2024,"text editing, prompted writing","text editing, prompted writing"
AWA1_D,./data/processed/exercises/AWA1_D_E05.txt,cuando firmé el contrato para (dicho) [dicha] vivienda / (varias) [varios] mensajes / (algunas) [algunos] problemas / (una) [un] programa malicioso,cloze,"cloze, metalinguistic reflection"
AWA1_D,./data/processed/exercises/AWA1_D_E06.txt,con respecto a la vivienda (en) [de] la C/ Valencia,discrete choice,"discrete choice, metalinguistic reflection"
AWA1_D,./data/processed/exercises/AWA1_D_E07.txt,hasta ahora (estaba) [era] fácil para mí,sentence reconstruction,sentence reconstruction
AWA1_D,./data/processed/exercises/AWA1_D_E08.txt,no tuvo (tan) [tanta] suerte,cloze,"cloze, metalinguistic reflection"
AWA1_D,./data/processed/exercises/AWA1_D_E09.txt,la vivienda no está [para] nada en el mismo estado que en las fotos,"translation, prompted writing","translation, prompted writing"
AWA1_D,./data/processed/exercises/AWA1_D_E10.txt,me (presentó) [mostró] una lista,discrete choice,discrete choice
AWA1_D,./data/processed/exercises/AWA1_D_E11.txt,espero una solución rápida (de) [a] esta situación / el pago realizado (de) [por] la renta / lo descargó (a) [en] su móvil,discrete choice,discrete choice
AWA1_D,./data/processed/exercises/AWA1_D_E12.txt,uno de (estes) [estos] mensajes,cloze,cloze
AWA1_D,./data/processed/exercises/AWA1_D_E13.txt,a su número [de] teléfono,"vocabulary extraction and list creation, translation","vocabulary extraction and list creation, translation"
AWA1_D,./data/processed/exercises/AWA1_D_E14.txt,no tuvo tanta (suerto) [suerte],"text editing, prompted writing","text editing, prompted writing"
AWA1_D,./data/processed/exercises/AWA1_D_E15.txt,me dijo que debería firmarla para recibir las (claves) [llaves],"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
BEA1_S,./data/processed/exercises/BEA1_S_E01.txt,(Yo) nací el 11 de septiembre de 2001,"text editing, metalinguistic reflection","text editing, metalinguistic reflection"
BEA1_S,./data/processed/exercises/BEA1_S_E02.txt,(Belgicá) [Bélgica] / enfermedad (cronica) [crónica] / (dificil) [difícil] / (tambien) [también],accent marking and read-aloud,"accent marking and read-aloud, prompted writing"
BEA1_S,./data/processed/exercises/BEA1_S_E03.txt,Las etapas (muy importante) [más importantes] de mi vida,"cloze, metalinguistic reflection","cloze, metalinguistic reflection"
BEA1_S,./data/processed/exercises/BEA1_S_E04.txt,Nací (en) [el] / (once) [11 de] (Septiembre) / [septiembre de] 2001,"text editing, prompted writing","text editing, prompted writing"
BEA1_S,./data/processed/exercises/BEA1_S_E05.txt,"Desde mi nacimiento hasta los 16 años, (estaba) [fui] una chica muy feliz / (estaba) [fue] un momento muy difícil / (estaba) [fue] la mejor etapa de mi vida",sentence reconstruction,sentence reconstruction
BEA1_S,./data/processed/exercises/BEA1_S_E06.txt,(de) [desde] mi nacimiento (a) [hasta los] 16 años,cloze,cloze
BEA1_S,./data/processed/exercises/BEA1_S_E07.txt,"Cuando tenía 16 años, (tenía) [me diagnosticaron] una enfermedad crónica",discrete choice,"discrete choice, metalinguistic reflection"
BEA1_S,./data/processed/exercises/BEA1_S_E08.txt,Fui a Reino Unido (por) [para] estudiar,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
BEA1_S,./data/processed/exercises/BEA1_S_E09.txt,escribí (un systematic review) [una revisión sistemática],"vocabulary extraction and list creation, translation","vocabulary extraction and list creation, translation"
BEA1_S,./data/processed/exercises/BEA1_S_E10.txt,(encanté) [conocí a],discrete choice,discrete choice
BEA1_S,./data/processed/exercises/BEA1_S_E11.txt,(cinqo) [cinco] meses / (quando) [cuando],"cloze, translation","cloze, translation"
BEA1_S,./data/processed/exercises/BEA1_S_E12.txt,"El año pasado fui a Budapest por una escuela de verano, me gusta mucho (este) [ese] lugar / (Este) [Esto] me hizo muy feliz",cloze,cloze
BEA1_S,./data/processed/exercises/BEA1_S_E13.txt,"El año pasado fui a Budapest por una escuela de verano, me gusta [mucho] ese lugar (mucho)",sentence reconstruction,sentence reconstruction
BEA1_S,./data/processed/exercises/BEA1_S_E14.txt,Los años (siguiente) [siguientes] / (mi) [mis] amigos,text editing,text editing
BEA1_S,./data/processed/exercises/BEA1_S_E15.txt,Esto me (dio) [hizo] / (mucho) [muy] feliz,text editing,text editing
BGE1_D,./data/processed/exercises/BGE1_D_E01.txt,solo uso la IA como punto de (partido) [partida],"discrete choice, metalinguistic reflection, prompted writing","discrete choice, metalinguistic reflection, prompted writing"
BGE1_D,./data/processed/exercises/BGE1_D_E02.txt,"no se trataba de un mensaje de CardStop, sino de un (bulo) [intento de estafa]","matching, cloze","matching, discrete choice"
BGE1_D,./data/processed/exercises/BGE1_D_E03.txt,entonces (se) ponen mucho énfasis en lo escrito,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
BGE1_D,./data/processed/exercises/BGE1_D_E04.txt,"las diferentes producciones (u) [o] ""outputs""",cloze,cloze
BGE1_D,./data/processed/exercises/BGE1_D_E05.txt,(las máquinas de traducción) [la traducción automática] también (pueden) [puede] ser muy útil a veces,"translation, prompted writing","translation, prompted writing"
BGE1_D,./data/processed/exercises/BGE1_D_E06.txt,escuchando e imitando [a] hablantes nativos,discrete choice,cloze
BGE1_D,./data/processed/exercises/BGE1_D_E07.txt,que yo (mismo) [misma] no habría advertido,"text editing, metalinguistic reflection","text editing, metalinguistic reflection"
BGE1_D,./data/processed/exercises/BGE1_D_E08.txt,cometer errores (sólo) [solo] es beneficioso,accent marking and read-aloud,accent marking and read-aloud
BGE1_D,./data/processed/exercises/BGE1_D_E09.txt,cometer errores solo es (beneficial) [beneficioso],discrete choice,discrete choice
BGE1_D,./data/processed/exercises/BGE1_D_E10.txt,las formas más idiomáticas (para) [de] expresarse / tengo miedo (para) [de] cometer errores,discrete choice,discrete choice
BGE1_D,./data/processed/exercises/BGE1_D_E11.txt,beneficioso (por) [para] el proceso de aprendizaje,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
BGE1_D,./data/processed/exercises/BGE1_D_E12.txt,"esa persona vuelve a (dar) [generar] un ""output""",discrete choice,discrete choice
BGE1_D,./data/processed/exercises/BGE1_D_E13.txt,"hay (""peer"" evaluación) [revisión por pares]",text editing,text editing
BGE1_D,./data/processed/exercises/BGE1_D_E14.txt,dudaron (para decidirse a) [sobre si] llamar,"syntagmatic systematization, prompted writing","syntagmatic systematization, prompted writing"
BGE1_D,./data/processed/exercises/BGE1_D_E15.txt,presión (de rendimiento) [para rendir],"vocabulary extraction and list creation, translation","vocabulary extraction and list creation, translation"
BGL1_D,./data/processed/exercises/BGL1_D_E01.txt,antes de recibir (este) [ese] cupón / nosotros en (este) [ese] momento ni siquiera,text editing,text editing
BGL1_D,./data/processed/exercises/BGL1_D_E02.txt,las torres de control (en) [de] Francia,"cloze, translation","cloze, translation"
BGL1_D,./data/processed/exercises/BGL1_D_E03.txt,como (todos estos pequeños detalles) [cada pequeño detalle],"translation, prompted writing","translation, prompted writing"
BGL1_D,./data/processed/exercises/BGL1_D_E04.txt,no entiendo por qué el personal del aeropuerto no nos quería comunicar que (esto) [esta] era la causa,cloze,cloze
BGL1_D,./data/processed/exercises/BGL1_D_E05.txt,lo único que nos dieron como compensación fue un (voucher) [cupón] para comer,text editing,text editing
BGL1_D,./data/processed/exercises/BGL1_D_E06.txt,(en el medio de la noche) [en plena noche],paradigmatic systematization,paradigmatic systematization
BGL1_D,./data/processed/exercises/BGL1_D_E07.txt,aprenderla (algunas) [unas] semanas antes de la prueba / en tan solo (algunos) [unos] segundos,"cloze, metalinguistic reflection","cloze, metalinguistic reflection"
BGL1_D,./data/processed/exercises/BGL1_D_E08.txt,que luego copian para (completar) [hacer] sus deberes,discrete choice,discrete choice
BGL1_D,./data/processed/exercises/BGL1_D_E09.txt,la cuenta del (transmisor) [remitente] para después,"vocabulary extraction and list creation, translation","vocabulary extraction and list creation, translation"
BGL1_D,./data/processed/exercises/BGL1_D_E10.txt,aterrizamos (el) [al] día siguiente,cloze,cloze
BGL1_D,./data/processed/exercises/BGL1_D_E11.txt,"tenemos nuestro gran examen final, (por) [para] el que tenemos que","metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
BGL1_D,./data/processed/exercises/BGL1_D_E12.txt,no nos robaran (nuestras) [las] maletas,"text editing, metalinguistic reflection","text editing, metalinguistic reflection"
BGL1_D,./data/processed/exercises/BGL1_D_E13.txt,decidió (darle) [enviarle] el dinero,cloze,cloze
BGL1_D,./data/processed/exercises/BGL1_D_E14.txt,los estafadores le (quitaron) [robaron] más dinero,"matching, cloze","matching, cloze"
BGL1_D,./data/processed/exercises/BGL1_D_E15.txt,(por) [a] causa de,discrete choice,discrete choice
BNS1_C,./data/processed/exercises/BNS1_C_E01.txt,"en (este) [ese] momento, yo pensaba que",text editing,text editing
BNS1_C,./data/processed/exercises/BNS1_C_E02.txt,de que (hacen parejas de) [emparejan a] compañeras de piso,paradigmatic systematization,paradigmatic systematization
BNS1_C,./data/processed/exercises/BNS1_C_E03.txt,(ella) viene de un país cálido / (ella) tiene la costumbre de ducharse / (ella) tuvo una discusión,"text editing, metalinguistic reflection","text editing, metalinguistic reflection"
BNS1_C,./data/processed/exercises/BNS1_C_E04.txt,mi recomendación es que tengan (mas) [más] cuidado,"matching, prompted writing","matching, prompted writing"
BNS1_C,./data/processed/exercises/BNS1_C_E05.txt,(páis) [país] / (calido) [cálido] / (despues) [después] / (reclamaciónes) [reclamaciones],accent marking and read-aloud,accent marking and read-aloud
BNS1_C,./data/processed/exercises/BNS1_C_E06.txt,(estáva) [estaba] bien,"metalinguistic reflection, paradigmatic systematization, prompted writing","metalinguistic reflection, paradigmatic systematization, prompted writing"
BNS1_C,./data/processed/exercises/BNS1_C_E07.txt,"en (lo) [el] peor caso, ¿puedo cambiar de compañera?",discrete choice,discrete choice
BNS1_C,./data/processed/exercises/BNS1_C_E08.txt,vengarse de mis (reclamaciones) [quejas],"matching, discrete choice, metalinguistic reflection","matching, discrete choice, metalinguistic reflection"
BNS1_C,./data/processed/exercises/BNS1_C_E09.txt,en (esta manera) [este sentido] no somos iguales,cloze,cloze
BNS1_C,./data/processed/exercises/BNS1_C_E10.txt,(ya que) [como] viene de un país cálido,sentence reconstruction,sentence reconstruction
BNS1_C,./data/processed/exercises/BNS1_C_E11.txt,"Carla, (como un modo de) [para] vengarse de mis quejas","translation, prompted writing","translation, prompted writing"
BNS1_C,./data/processed/exercises/BNS1_C_E12.txt,una por la mañana y (una) [otra] por la noche,"cloze, metalinguistic reflection","cloze, metalinguistic reflection"
BNS1_C,./data/processed/exercises/BNS1_C_E13.txt,ninguna consideración (de) [por] su parte / tengan más cuidado (sobre) [con] las normas culturales,discrete choice,discrete choice
BNS1_C,./data/processed/exercises/BNS1_C_E14.txt,(voy a tener mi dinero de vuelta) [me van a devolver mi dinero],text editing,text editing
BNS1_C,./data/processed/exercises/BNS1_C_E15.txt,emparejan a compañeras de piso (entre personas parecidas) [con perfiles similares],"vocabulary extraction and list creation, translation","vocabulary extraction and list creation, translation"
BSC1_C,./data/processed/exercises/BSC1_C_E01.txt,la magnitud (de la confusión) [del desorden],"matching, metalinguistic reflection","matching, metalinguistic reflection"
BSC1_C,./data/processed/exercises/BSC1_C_E02.txt,la solución que (pensamos) [encontramos],discrete choice,discrete choice
BSC1_C,./data/processed/exercises/BSC1_C_E03.txt,después de esto (dejaron de se) [se dejaron de] hablar / cualquier cosa puede (se tornar) [tornarse] motivo de pelea,sentence reconstruction,sentence reconstruction
BSC1_C,./data/processed/exercises/BSC1_C_E04.txt,(maquinas) [máquinas] / (deberia) [debería] / (reuni) [reuní] / (proxima) [próxima] / (fué) [fue] / (aqui) [aquí],accent marking and read-aloud,accent marking and read-aloud
BSC1_C,./data/processed/exercises/BSC1_C_E05.txt,se (quedaron) [sintieron] ofendidas,"paradigmatic systematization, prompted writing","paradigmatic systematization, prompted writing"
BSC1_C,./data/processed/exercises/BSC1_C_E06.txt,la (próxima) [siguiente] chica que desee utilizarla,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
BSC1_C,./data/processed/exercises/BSC1_C_E07.txt,reuní [a] un grupo de chicas,discrete choice,cloze
BSC1_C,./data/processed/exercises/BSC1_C_E08.txt,que (nosotras) encontramos,"text editing, metalinguistic reflection","text editing, metalinguistic reflection"
BSC1_C,./data/processed/exercises/BSC1_C_E09.txt,en la (gráfica) [imprenta] del barrio,discrete choice,"discrete choice, translation"
BSC1_C,./data/processed/exercises/BSC1_C_E10.txt,puede (imaginar) [imaginarse],"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
BSC1_C,./data/processed/exercises/BSC1_C_E11.txt,(pusieron la culpa en) [le echaron la culpa a] las recién llegadas,"translation, prompted writing","translation, prompted writing"
BSC1_C,./data/processed/exercises/BSC1_C_E12.txt,puede imaginarse (el tamaño) [la magnitud] del desorden,"matching, paradigmatic systematization","matching, paradigmatic systematization"
BSC1_C,./data/processed/exercises/BSC1_C_E13.txt,escribo para (informar) [informarle a] usted,"text editing, metalinguistic reflection","text editing, metalinguistic reflection"
BSC1_C,./data/processed/exercises/BSC1_C_E14.txt,las etiquetas (para identificación) [identificativas],paradigmatic systematization,paradigmatic systematization
BSC1_C,./data/processed/exercises/BSC1_C_E15.txt,(sentisen) [sintiesen] / (dejaram) [dejaron] / (quedaram) [quedaron] / (exames) [exámenes],"text editing, prompted writing","text editing, prompted writing"
CAJ1_C,./data/processed/exercises/CAJ1_C_E01.txt,escoger un (tiempo) [momento] para hablar,"matching, discrete choice",discrete choice
CAJ1_C,./data/processed/exercises/CAJ1_C_E02.txt,(habia) [había] / (jabon) [jabón] / (facil) [fácil],accent marking and read-aloud,accent marking and read-aloud
CAJ1_C,./data/processed/exercises/CAJ1_C_E03.txt,se tienen que comprar (más frecuente) [con mayor frecuencia],"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
CAJ1_C,./data/processed/exercises/CAJ1_C_E04.txt,(occurió) [ocurrió] / (escojer) [escoger] / jabón de (loca) [loza] / (felic) [feliz] / (frequentemente) [frecuentemente] / (dicución) [discusión],"text editing, prompted writing","text editing, prompted writing"
CAJ1_C,./data/processed/exercises/CAJ1_C_E05.txt,(unas) [algunas] cosas,"cloze, metalinguistic reflection","cloze, metalinguistic reflection"
CAJ1_C,./data/processed/exercises/CAJ1_C_E06.txt,se dieron cuenta [de] que / se va [a] comprar / sus opiniones (en) [sobre] cómo resolver el conflicto,discrete choice,discrete choice
CAJ1_C,./data/processed/exercises/CAJ1_C_E07.txt,compraban (cosas para limpiar) [productos de limpieza] / (cosas de comer) [comida],paradigmatic systematization,paradigmatic systematization
CAJ1_C,./data/processed/exercises/CAJ1_C_E08.txt,(en una) [de] manera,"translation, prompted writing","translation, prompted writing"
CAJ1_C,./data/processed/exercises/CAJ1_C_E09.txt,un conflicto que (yo) solucioné,"text editing, metalinguistic reflection","prompted writing, metalinguistic reflection"
CAJ1_C,./data/processed/exercises/CAJ1_C_E10.txt,las personas (enfadados) [enfadadas],cloze,cloze
CAJ1_C,./data/processed/exercises/CAJ1_C_E11.txt,que todo [el] mundo usaba / (todos entre) [todo el mundo en] el apartamento / todos [los] que viven en el apartamento,translation,translation
CAJ1_C,./data/processed/exercises/CAJ1_C_E12.txt,(mas) [más] / (como) [cómo] / (tenia) [tenía] / (cuanto) [cuánto],"matching, prompted writing","matching, prompted writing"
CAJ1_C,./data/processed/exercises/CAJ1_C_E13.txt,(escuchamos la) [dimos] voz a todos,discrete choice,discrete choice
CAJ1_C,./data/processed/exercises/CAJ1_C_E14.txt,se (pusieron enfadados) [enfadaron] / les pedí que (tomaran un voto) [votaran],text editing,text editing
