participant_ID,text_file,error,rater_1,rater_2
FJA1_J,./data/processed/exercises/FJA1_J_E11.txt,(me lo recuerda) [lo recuerdo] como si fuera ayer,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
FJA1_J,./data/processed/exercises/FJA1_J_E12.txt,he oído un (pequeño ruido) [ruidito],"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
FJA1_J,./data/processed/exercises/FJA1_J_E13.txt,la razón de mi (feliz) [felicidad],text editing,text editing
FJA1_J,./data/processed/exercises/FJA1_J_E14.txt,fue un momento muy emocionante para (mi) [mí] / (salte) [salté],"matching, prompted writing","matching, prompted writing"
FJA1_J,./data/processed/exercises/FJA1_J_E15.txt,(el hermosísimo gato encima la planeta) [el gato más hermoso del mundo],"translation, prompted writing","translation, prompted writing"
FJE1_S,./data/processed/exercises/FJE1_S_E01.txt,mi abuela (enfermedó) [enfermó],paradigmatic systematization,paradigmatic systematization
FJE1_S,./data/processed/exercises/FJE1_S_E02.txt,(conicí) [conocí],metalinguistic reflection,metalinguistic reflection
FJE1_S,./data/processed/exercises/FJE1_S_E03.txt,(desde) [de] 2005 a 2010,cloze,cloze
FJE1_S,./data/processed/exercises/FJE1_S_E04.txt,(Hice) [Llevé] una vida muy feliz,discrete choice,discrete choice
FJE1_S,./data/processed/exercises/FJE1_S_E05.txt,Conocí [a] muchas amigas,discrete choice,discrete choice
FJE1_S,./data/processed/exercises/FJE1_S_E06.txt,Yo nací (en) [el] (cinco) [5] de abril de 2005 en Francia,"text editing, prompted writing","text editing, prompted writing"
FJE1_S,./data/processed/exercises/FJE1_S_E07.txt,No (me recuerde) [recuerdo] mi vida,cloze,cloze
FJE1_S,./data/processed/exercises/FJE1_S_E08.txt,mi (vade) [vida],prompted writing,prompted writing
FJE1_S,./data/processed/exercises/FJE1_S_E09.txt,cursé el (BAC) [bachillerato],matching,matching
FJE1_S,./data/processed/exercises/FJE1_S_E10.txt,(hizé) [cursé] el bachillerato,discrete choice,cloze
FJE1_S,./data/processed/exercises/FJE1_S_E11.txt,perdí (una otra) [a otra] abuela,cloze,cloze
FJE1_S,./data/processed/exercises/FJE1_S_E12.txt,fue mi profesora de (Frances) [francés],discrete choice,discrete choice
FJE1_S,./data/processed/exercises/FJE1_S_E13.txt,estudié en (este) [esta] ciudad hasta 2020 / (una) [un] día mi abuela,cloze,cloze
FJE1_S,./data/processed/exercises/FJE1_S_E14.txt,sé que (fue) [fueron] buenos momentos / (fue) [fueron] dos momentos muy (difícil) [difíciles] en mi vida,text editing,text editing
FJE1_S,./data/processed/exercises/FJE1_S_E15.txt,(adoptó) [adopté a] un perro que se llama Sparrow,"metalinguistic reflection, vocabulary extraction and list creation","metalinguistic reflection, vocabulary extraction and list creation"
FKN1_I,./data/processed/exercises/FKN1_I_E01.txt,(utilizó) [utilizo],"matching, prompted writing","matching, prompted writing"
FKN1_I,./data/processed/exercises/FKN1_I_E02.txt,"no solo se limita, sino [que] también",metalinguistic reflection,metalinguistic reflection
FKN1_I,./data/processed/exercises/FKN1_I_E03.txt,(los) [las] redes sociales,cloze,cloze
FKN1_I,./data/processed/exercises/FKN1_I_E04.txt,(un) otro ángulo,cloze,cloze
FKN1_I,./data/processed/exercises/FKN1_I_E05.txt,orígenes diferentes de (la suya) [los suyos],"matching, sentence reconstruction","matching, sentence reconstruction"
FKN1_I,./data/processed/exercises/FKN1_I_E06.txt,otras personas (quien) [que] las acusan de,"cloze, metalinguistic reflection","cloze, metalinguistic reflection"
FKN1_I,./data/processed/exercises/FKN1_I_E07.txt,los diferentes problemas (debido) [debidos] a la desigualdad,text editing,text editing
FKN1_I,./data/processed/exercises/FKN1_I_E08.txt,datos (claves) [clave],cloze,cloze
FKN1_I,./data/processed/exercises/FKN1_I_E09.txt,es mucho (más) peor,discrete choice,discrete choice
FKN1_I,./data/processed/exercises/FKN1_I_E10.txt,no solamente es una cuestión de desigualdad sino (tampoco) [también] social,"cloze, metalinguistic reflection","cloze, metalinguistic reflection"
FKN1_I,./data/processed/exercises/FKN1_I_E11.txt,(realizar) [darse cuenta de] la urgencia del problema,discrete choice,discrete choice
FKN1_I,./data/processed/exercises/FKN1_I_E12.txt,es importante que las organizaciones de voluntariado (deben trabajar) [trabajen],prompted writing,prompted writing
FKN1_I,./data/processed/exercises/FKN1_I_E13.txt,sus viajes de voluntariado en (la cual) [los cuales],discrete choice,discrete choice
FKN1_I,./data/processed/exercises/FKN1_I_E14.txt,el 10% más rico tiene [el] 47% de los ingresos,cloze,text editing
FKN1_I,./data/processed/exercises/FKN1_I_E15.txt,otras etnias (en) [de] la región,discrete choice,discrete choice
FLJ1_J,./data/processed/exercises/FLJ1_J_E01.txt,la sola (exception) [excepción] / las (differentes) [diferentes] asignaturas,"metalinguistic reflection, paradigmatic systematization, prompted writing","metalinguistic reflection, paradigmatic systematization, prompted writing"
FLJ1_J,./data/processed/exercises/FLJ1_J_E02.txt,(el) [la] más famosa ciudad de España / (los) [las] diferentes asignaturas / (la) [el] video,cloze,cloze
FLJ1_J,./data/processed/exercises/FLJ1_J_E03.txt,y he visto [a] un hombre / encontrar [a] mi amigo,discrete choice,discrete choice
FLJ1_J,./data/processed/exercises/FLJ1_J_E04.txt,el hecho de encontrar a (mí) [mi] amigo italiano,"matching, prompted writing","matching, prompted writing"
FLJ1_J,./data/processed/exercises/FLJ1_J_E05.txt,después [del] jueves,discrete choice,discrete choice
FLJ1_J,./data/processed/exercises/FLJ1_J_E06.txt,(era) [estaba] triste por haber dejado,sentence reconstruction,sentence reconstruction
FLJ1_J,./data/processed/exercises/FLJ1_J_E07.txt,y nos (han encontrado) [hemos dado cuenta de] que éramos compañeros,text editing,text editing
FLJ1_J,./data/processed/exercises/FLJ1_J_E08.txt,era muy (pequeño) [bajito] y también bastante tranquilo,"matching, cloze","matching, cloze"
FLJ1_J,./data/processed/exercises/FLJ1_J_E09.txt,(salíamos) [íbamos] a la discoteca,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
FLJ1_J,./data/processed/exercises/FLJ1_J_E10.txt,(pizo) [piso],"cloze, metalinguistic reflection","cloze, metalinguistic reflection"
FLJ1_J,./data/processed/exercises/FLJ1_J_E11.txt,(llova) [llovía] / (quira) [quería],"text editing, prompted writing","text editing, prompted writing"
FLJ1_J,./data/processed/exercises/FLJ1_J_E12.txt,(tambien) [también] / (calido) [cálido] / (examenes) [exámenes] / (proximó) [próximo],accent marking and read-aloud,accent marking and read-aloud
